#{"t_start": 1628272413.2611737, "env_id": null}
r,l,t
449.098598,500,4842.576464
399.69377,500,4848.997682
284.788962,500,4854.997382
241.972774,500,4861.093964
326.886673,500,4867.074676
327.206106,500,4873.139253
119.685715,500,4879.237472
311.946671,500,4885.419134
395.166668,500,4891.491747
411.252034,500,4897.653247
375.174418,500,4903.593983
225.719678,500,4909.761643
344.118994,500,4915.763857
443.918751,500,4921.835397
299.186763,500,4927.792284
440.387483,500,4933.860297
355.511237,500,4939.99848
410.28434,500,4946.02262
350.475236,500,4952.162727
383.384239,500,4958.137724
455.723956,500,4964.163731
434.925648,500,4970.151128
358.158806,500,4976.127846
422.21865,500,4982.34294
369.560561,500,4988.826698
425.517766,500,4994.834272
331.694916,500,5000.892831
376.189902,500,5006.876136
458.492643,500,5013.05054
443.257832,500,5019.118964
353.042414,500,5025.098686
294.623076,500,5031.192535
442.579028,500,5037.247078
447.251412,500,5043.45204
460.13973,500,5049.583154
281.827675,500,5055.595517
224.830314,500,5061.456215
373.807644,500,5067.546553
362.656858,500,5073.64367
269.847865,500,5079.798186
296.915355,500,5085.863009
445.622443,500,5091.910931
428.951969,500,5097.901947
-208.620851,500,5104.09816
431.78246,500,5110.123036
434.422637,500,5116.040736
415.729123,500,5122.194154
460.577763,500,5128.421447
450.529469,500,5134.494304
460.847204,500,5140.589436
382.431788,500,5146.70327
337.701556,500,5152.782738
233.049782,500,5158.810295
396.920049,500,5164.951865
377.922703,500,5170.972359
330.491478,500,5177.429869
146.788317,500,5184.141511
-50.748703,500,5190.134811
309.667293,500,5196.022901
78.801423,500,5202.818016
259.837586,500,5208.689013
143.535527,500,5214.555721
149.335541,500,5220.520083
47.516023,500,5226.41962
299.574025,500,5232.493986
272.752362,500,5238.779119
337.326665,500,5245.567957
380.983744,500,5254.950432
118.818265,500,5262.079756
184.156831,500,5268.882164
165.035579,500,5275.876679
101.728611,500,5282.370406
132.29618,500,5288.790942
34.369277,500,5295.333249
373.840474,500,5301.779004
324.037594,500,5308.249175
393.539755,500,5314.657156
96.967719,500,5321.101018
254.550297,500,5327.43516
330.177934,500,5334.42593
129.693205,500,5341.246239
-95.436876,500,5348.358966
408.97372,500,5355.636221
18.620034,500,5363.165425
169.416645,500,5370.331906
167.583641,500,5378.218187
280.576463,500,5385.707497
321.303743,500,5392.981983
266.93688,500,5400.227783
241.362847,500,5407.482732
266.888073,500,5414.677313
138.813165,500,5421.917491
86.724934,500,5429.513005
366.546305,500,5437.0244
271.296586,500,5444.163473
367.747091,500,5450.565702
237.641712,500,5457.770806
90.343753,500,5464.977287
96.715748,500,5472.491445
41.613489,500,5479.793622
338.422823,500,5486.352742
445.906957,500,5492.077081
361.930142,500,5497.999074
436.810733,500,5504.047214
434.355168,500,5510.007396
420.221894,500,5516.062872
109.846032,500,5521.82018
436.174622,500,5527.575525
321.905701,500,5533.421664
343.822176,500,5539.332699
95.482606,500,5545.157614
449.266765,500,5551.218989
375.072812,500,5557.816406
409.852172,500,5564.346477
-347.741288,500,5570.610852
337.932973,500,5576.568031
304.678881,500,5582.30827
302.441229,500,5588.077077
242.229782,500,5593.811221
432.572338,500,5599.663824
360.944399,500,5605.497149
-242.972638,500,5611.323071
-15.771448,500,5617.007568
343.851827,500,5622.860333
433.581114,500,5628.583233
288.69754,500,5634.37108
409.23355,500,5640.35161
446.024352,500,5646.349165
-209.523741,500,5652.379463
447.07969,500,5658.217297
-25.485798,500,5664.099159
201.503471,500,5669.979493
416.951547,500,5675.758141
439.365804,500,5681.589892
404.589274,500,5687.546472
360.957821,500,5693.848221
390.85411,500,5700.000434
396.898965,500,5705.935779
339.496505,500,5711.682568
-588.674025,500,5717.47495
327.121765,500,5723.385764
385.885505,500,5729.646847
355.527824,500,5736.645362
123.585262,500,5742.836923
146.10176,500,5748.581735
-37.091675,500,5754.299535
111.4705,500,5760.077028
98.885599,500,5765.879688
330.102523,500,5771.87482
243.364334,500,5777.788155
144.864548,500,5784.04477
381.043933,500,5790.269538
273.900051,500,5796.112842
390.159016,500,5802.040295
40.470207,500,5807.803139
-1048.477044,500,5813.563252
-494.655269,500,5819.334601
-364.453292,500,5825.158712
-978.315509,500,5831.020566
425.147869,500,5836.924149
-271.647177,500,5843.066744
-10.548873,500,5849.277641
413.11516,500,5855.338762
369.618426,500,5861.52598
450.406259,500,5867.564411
442.002998,500,5873.674636
460.880946,500,5879.888125
429.245567,500,5885.863282
442.28331,500,5891.942458
397.113194,500,5898.096623
-1429.93742,500,5904.589871
308.961429,500,5910.884903
155.50833,500,5917.240338
-141.449005,500,5923.154053
386.956246,500,5929.476282
415.87925,500,5935.687306
214.411287,500,5942.121253
-730.768982,500,5948.17787
384.377824,500,5953.985798
425.790526,500,5959.67578
390.996832,500,5965.352702
302.126874,500,5971.502603
290.603016,500,5978.029619
-274.449568,500,5984.907308
402.406831,500,5991.219891
400.483071,500,5997.584375
372.367187,500,6003.837997
31.46711,500,6010.156011
